Line Section,Equipment / Asset ID,Manufacturer Code Pillow Block,Manufacturer Pillow Block,Manufacturer Code Bearing,Manufacturer Bearing,Bearing Type,Lubricant Type,Grease Fitting Position,Bearing Volume,Pillow Block 1st Fill %,Pillow Block 1st Fill g,Lubrication Grease (g),Lubrication Period (weeks)
PROCESS SECTION,DFR - 208 - DEFLECTOR ROLL 63 - OPS Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,DFR - 209 - DEFLECTOR ROLL 64 - Driven Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,DFR - 210 - DEFLECTOR ROLL 64 - OPS Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,DFR - 211 - DEFLECTOR ROLL 65 - Driven Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,DFR - 212 - DEFLECTOR ROLL 65 - OPS Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,DFR - 213 - DEFLECTOR ROLL 66 - Driven Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,DFR - 214 - DEFLECTOR ROLL 66 - OPS Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,DFR - 215 - DEFLECTOR ROLL 67 - Driven Side,04693220-514 (AA),DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,341 cm3,40%,121 g,55 g,18
PROCESS SECTION,DFR - 216 - DEFLECTOR ROLL 67 - OPS Side,04693220-514 (AA),DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,341 cm3,40%,121 g,55 g,18
PROCESS SECTION,WRA - 217 - WRINGER ROLL 68A - Driven Side,SAFS-217,SKF,22217CC/W33C3,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,92 cm3,40%,33 g,24 g,20
PROCESS SECTION,WRA - 218 - WRINGER ROLL 68A - OPS Side,SAFS-217,SKF,22217CC/W33C3,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,92 cm3,40%,33 g,24 g,20
PROCESS SECTION,WRA - 219 - ROLL 68B - Driven Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,WRA - 220 - ROLL 68B - OPS Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,WRA - 221 - ROLL 68S - Driven Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,WRA - 222 - ROLL 68S - OPS Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,DFR - 223 - DEFLECTOR ROLL 69 - Driven Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,DFR - 224 - DEFLECTOR ROLL 69 - OPS Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,DFR - 225 - DEFLECTOR ROLL 70 - Driven Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,DFR - 226 - DEFLECTOR ROLL 70 - OPS Side,SAFS-215,TORRINGTON,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,59 cm3,40%,21 g,18 g,15
PROCESS SECTION,BYP - 227 - ROLL 70A - Driven Side,FSAF 315,SKF,22315CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,191 cm3,40%,68 g,39 g,16
PROCESS SECTION,BYP - 228 - ROLL 70A - OPS Side,FSAF 315,SKF,22315CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,191 cm3,40%,68 g,39 g,16
